gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00554,57,56,0.9824561403508771,True
GF_00555,81,78,0.9629629629629629,True
GF_00556,52,51,0.9807692307692307,True
GF_00557,80,78,0.975,True
GF_00558,140,99,0.7071428571428572,False
GF_00559,44,43,0.9772727272727273,True
GF_00560,42,40,0.9523809523809523,True
GF_00561,46,45,0.9782608695652174,True
GF_00562,54,53,0.9814814814814815,True
GF_00563,54,53,0.9814814814814815,True
GF_00564,62,60,0.967741935483871,True
GF_00565,84,80,0.9523809523809523,True
GF_00566,84,82,0.9761904761904762,True
GF_00567,86,84,0.9767441860465116,True
GF_00568,56,55,0.9821428571428571,True
GF_00569,76,74,0.9736842105263158,True
GF_00570,40,39,0.975,True
GF_00571,104,47,0.4519230769230769,False
GF_00572,60,59,0.9833333333333333,True
GF_00573,83,80,0.963855421686747,True
GF_00574,84,82,0.9761904761904762,True
GF_00575,45,5,0.1111111111111111,False
GF_00576,51,50,0.9803921568627451,True
GF_00577,61,60,0.9836065573770492,True
GF_00578,48,47,0.9791666666666666,True
GF_00579,57,55,0.9649122807017544,True
GF_00580,105,89,0.8476190476190476,False
GF_00581,62,61,0.9838709677419355,True
GF_00582,68,67,0.9852941176470589,True
GF_00583,47,46,0.9787234042553191,True
GF_00584,107,81,0.7570093457943925,False
GF_00585,79,77,0.9746835443037974,True
GF_00586,58,11,0.1896551724137931,False
GF_00587,92,23,0.25,False
GF_00588,132,88,0.6666666666666666,False
GF_00589,64,59,0.921875,True
GF_00590,83,20,0.24096385542168675,False
GF_00591,50,43,0.86,False
GF_00592,44,7,0.1590909090909091,False
GF_00593,258,118,0.4573643410852713,False
GF_00594,56,6,0.10714285714285714,False
GF_00595,45,14,0.3111111111111111,False
GF_00596,81,13,0.16049382716049382,False
GF_00597,55,12,0.21818181818181817,False
GF_00598,65,14,0.2153846153846154,False
GF_00599,54,14,0.25925925925925924,False
GF_00600,177,35,0.1977401129943503,False
GF_00601,44,33,0.75,False
GF_00602,51,5,0.09803921568627451,True
GF_00603,68,13,0.19117647058823528,False
GF_00604,116,97,0.8362068965517241,False
GF_00605,75,16,0.21333333333333335,False
GF_00606,75,28,0.37333333333333335,False
GF_00607,134,35,0.26119402985074625,False
GF_00608,287,120,0.4181184668989547,False
GF_00609,370,98,0.2648648648648649,False
GF_00610,61,52,0.8524590163934426,False
GF_00611,42,2,0.047619047619047616,True
GF_00612,163,107,0.656441717791411,False
GF_00613,137,102,0.7445255474452555,False
GF_00614,219,111,0.5068493150684932,False
GF_00615,124,97,0.782258064516129,False
GF_00616,43,25,0.5813953488372093,False
GF_00617,59,14,0.23728813559322035,False
GF_00618,56,25,0.44642857142857145,False
GF_00619,236,115,0.4872881355932203,False
GF_00620,332,126,0.3795180722891566,False
GF_00621,55,2,0.03636363636363636,True
GF_00622,267,126,0.47191011235955055,False
GF_00623,127,30,0.23622047244094488,False
GF_00624,278,109,0.3920863309352518,False
GF_00625,286,131,0.458041958041958,False
GF_00626,58,14,0.2413793103448276,False
GF_00627,72,13,0.18055555555555555,False
GF_00628,108,91,0.8425925925925926,False
GF_00629,145,106,0.7310344827586207,False
GF_00630,305,129,0.42295081967213116,False
GF_00631,301,120,0.39867109634551495,False
GF_00632,60,12,0.2,False
GF_00633,58,5,0.08620689655172414,True
GF_00634,217,107,0.4930875576036866,False
GF_00635,191,101,0.5287958115183246,False
GF_00636,54,53,0.9814814814814815,True
GF_00637,79,75,0.9493670886075949,True
GF_00638,273,112,0.41025641025641024,False
GF_00639,60,57,0.95,True
GF_00640,55,52,0.9454545454545454,True
GF_00641,50,47,0.94,True
GF_00642,60,56,0.9333333333333333,True
GF_00643,227,115,0.5066079295154186,False
GF_00644,41,33,0.8048780487804879,False
GF_00645,68,66,0.9705882352941176,True
GF_00646,41,33,0.8048780487804879,False
GF_00647,83,81,0.9759036144578314,True
GF_00648,84,82,0.9761904761904762,True
GF_00649,88,84,0.9545454545454546,True
GF_00650,87,83,0.9540229885057471,True
GF_00651,70,69,0.9857142857142858,True
GF_00652,77,75,0.974025974025974,True
GF_00653,60,59,0.9833333333333333,True
GF_00654,84,81,0.9642857142857143,True
GF_00655,47,47,1.0,True
GF_00656,56,35,0.625,False
GF_00657,98,77,0.7857142857142857,False
GF_00658,248,124,0.5,False
GF_00659,95,76,0.8,False
GF_00660,88,80,0.9090909090909091,True
GF_00661,175,103,0.5885714285714285,False
GF_00662,61,53,0.8688524590163934,False
GF_00663,110,93,0.8454545454545455,False
GF_00664,48,45,0.9375,True
GF_00665,295,131,0.4440677966101695,False
GF_00666,121,100,0.8264462809917356,False
GF_00667,88,72,0.8181818181818182,False
GF_00668,189,103,0.544973544973545,False
